population_density_2000,population_density_2005,population_density_2010,population_density_2015,population_density_2020
10.897663116455078,10.86059284210205,10.777864456176758,10.649446487426758,10.416669845581055
1709.1622314453125,1803.5020751953125,1896.0321044921875,1971.1510009765625,2037.960693359375
40.594688415527344,42.36968994140625,43.75922393798828,44.92924118041992,45.351627349853516
67.57257843017578,77.24386596679688,80.17416381835938,76.922607421875,65.96147918701172
4523.53076171875,5415.1328125,6229.119140625,7087.6298828125,7936.31591796875
251.64869689941406,272.0185241699219,282.5453796386719,290.29180908203125,293.5113525390625
20.283344268798828,21.398700714111328,22.492149353027344,23.378660202026367,24.166292190551758
8.87938404083252,9.496137619018555,10.206099510192871,10.739701271057129,10.85672664642334
8.810029983520508,9.356128692626953,9.899438858032227,10.357863426208496,10.777833938598633
549.872314453125,558.8497924804688,565.5712890625,569.8949584960938,568.472900390625
2707.454345703125,2843.944091796875,2974.6787109375,3097.94873046875,3193.85986328125
1069.5340576171875,1139.7176513671875,1210.0286865234375,1270.3961181640625,1326.43017578125
57.89384841918945,61.089393615722656,64.2236328125,66.76810455322266,69.0311279296875
105.03423309326172,115.14546203613281,125.28766632080078,136.35595703125,146.27462768554688
218.5904083251953,264.6902770996094,307.9859924316406,354.47100830078125,401.4892883300781
3043.220458984375,3214.175048828125,3382.2158203125,3519.478515625,3642.142578125
120.19959259033203,125.78470611572266,131.1439666748047,135.21160888671875,138.6376953125
3.9314475059509277,4.13118314743042,4.325058937072754,4.477697372436523,4.610194206237793
1273.607421875,1344.3402099609375,1413.76904296875,1470.2557373046875,1520.5792236328125
169.5685272216797,180.8271484375,192.12228393554688,201.85382080078125,210.91036987304688
14.317099571228027,15.737704277038574,17.2354793548584,18.665966033935547,20.103853225708008
1225.8902587890625,1288.1708984375,1348.6246337890625,1396.219970703125,1437.534423828125
4568.83203125,4822.57275390625,5071.6357421875,5274.27197265625,5454.7978515625
0.8977172374725342,0.9867925643920898,1.0807067155838013,1.170401930809021,1.2605608701705933
1989.6702880859375,2120.086181640625,2268.854248046875,2434.82763671875,2525.625
757.2579345703125,799.3140258789062,840.5948486328125,874.1806030273438,904.1016845703125
393.0701599121094,427.3331604003906,458.16375732421875,484.3431701660156,504.8529052734375
665.3721313476562,704.053466796875,739.94384765625,771.5714721679688,790.7588500976562
9783.2451171875,12650.8896484375,14878.7705078125,17121.533203125,19519.041015625
313.4797058105469,348.38372802734375,384.1338195800781,419.11065673828125,452.1473388671875
14318.099609375,14431.91796875,14619.22265625,14499.609375,13815.7431640625
2676.081787109375,2635.651611328125,2564.529541015625,2460.389892578125,2345.36328125
290.1972351074219,311.626953125,330.931884765625,347.4424743652344,362.2983093261719
2810.917236328125,2857.8134765625,2894.7783203125,2899.625732421875,2888.486328125
290.1971740722656,311.62689208984375,330.9318542480469,347.4424133300781,362.2982482910156
146.33961486816406,187.1608123779297,230.01380920410156,279.60809326171875,334.49456787109375
42.94134521484375,49.906593322753906,55.73477554321289,61.567481994628906,66.92987823486328
6.850793361663818,7.104772567749023,7.340999126434326,7.500761032104492,7.621793270111084
587.3733520507812,623.2227783203125,681.247802734375,736.7322998046875,786.7553100585938
5002.20166015625,5359.11376953125,5213.16845703125,4687.69775390625,3767.335693359375
123.00688171386719,132.0761260986328,128.76451110839844,116.04252624511719,93.46627807617188
649.6834716796875,636.7137451171875,619.0838012695312,596.4566040039062,570.6978759765625
201.93467712402344,197.5297393798828,192.50843811035156,185.52914428710938,177.81822204589844
1303.11669921875,1306.7608642578125,1300.0849609375,1281.6561279296875,1254.784912109375
323.58489990234375,331.83966064453125,338.86553955078125,344.5415954589844,346.7875061035156
39.58652877807617,40.95551681518555,41.902442932128906,42.384483337402344,42.58077621459961
25.45522117614746,27.371543884277344,26.72382926940918,24.118328094482422,19.45416259765625
55.274139404296875,58.668846130371094,56.54186248779297,50.37113571166992,40.1060791015625
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1120.7841796875,1195.1676025390625,1269.787841796875,1334.0704345703125,1393.8885498046875
669.5781860351562,660.67724609375,647.484619140625,629.5842895507812,601.6844482421875
85.99724578857422,94.27586364746094,102.579833984375,111.64205169677734,119.76300811767578
78.12735748291016,78.9240951538086,79.43681335449219,79.06595611572266,78.26537322998047
92.7871322631836,97.06523132324219,101.16619110107422,104.26828002929688,106.87366485595703
4498.34765625,5429.7919921875,6420.830078125,7514.2568359375,8699.52734375
11.633731842041016,12.582812309265137,13.559136390686035,14.44879150390625,15.312028884887695
3636.6123046875,3795.222900390625,3880.2119140625,3926.092041015625,3929.8876953125
24.181072235107422,27.710542678833008,31.40338134765625,35.184261322021484,39.15251159667969
4.377945899963379,4.678577899932861,4.996118545532227,5.344103813171387,5.6745381355285645
636.5213623046875,761.9817504882812,876.5205688476562,997.3244018554688,1116.745849609375
255.81634521484375,254.31649780273438,250.02452087402344,243.01405334472656,234.5952911376953
1397.0126953125,1697.1839599609375,1981.269287109375,2287.783447265625,2599.7392578125
101.23006439208984,116.49681854248047,128.8263397216797,140.913330078125,151.6851348876953
15.450322151184082,16.035747528076172,16.30492401123047,16.4072265625,16.333009719848633
282.2749938964844,320.0794677734375,358.9261779785156,397.91748046875,438.14727783203125
23.313976287841797,23.93561363220215,24.483217239379883,24.764955520629883,24.911985397338867
20.079938888549805,21.290491104125977,22.323942184448242,23.14177894592285,23.826580047607422
75.63532257080078,79.08502960205078,75.08287048339844,65.89258575439453,51.683162689208984
1648.902099609375,1973.9058837890625,2270.617431640625,2583.55859375,2892.9189453125
