elevation
709.0
39.0
846.0
1396.0
75.0
8.0
640.0
57.0
1818.0
1471.0
2021.0
37.0
312.0
620.0
120.0
-9.0
982.0
1.0
118.0
71.0
88.0
5.0
34.0
202.0
20.0
14.0
11.0
15.0
42.0
8.0
2238.0
13.0
1548.0
247.0
1082.0
314.0
264.0
347.0
19.0
830.0
547.0
10.0
323.0
6.0
1379.0
748.0
3111.0
874.0
17.0
25.0
106.0
78.0
267.0
673.0
557.0
255.0
57.0
50.0
151.0
1559.0
3166.0
78.0
1579.0
5.0
130.0
1014.0
2709.0
89.0
3840.0
1031.0
70.0
2878.0
1226.0
1895.0
1411.0
3532.0
3295.0
613.0
1864.0
450.0
41.0
10.0
1069.0
498.0
2360.0
230.0
2042.0
38.0
76.0
424.0
2174.0
2212.0
1957.0
1260.0
157.0
170.0
3237.0
82.0
1688.0
3827.0
1935.0
73.0
740.0
94.0
27.0
5.0
7.0
929.0
1854.0
741.0
164.0
579.0
1367.0
272.0
272.0
1136.0
813.0
985.0
1418.0
65.0
39.0
750.0
97.0
412.0
683.0
140.0
1279.0
28.0
139.0
123.0
731.0
94.0
1539.0
2430.0
1741.0
1741.0
1278.0
1428.0
1472.0
91.0
1248.0
205.0
156.0
249.0
226.0
1443.0
364.0
35.0
36.0
1230.0
680.0
1600.0
326.0
1403.0
119.0
33.0
49.0
324.0
51.0
48.0
1815.0
590.0
577.0
143.0
201.0
521.0
276.0
3391.0
1340.0
2320.0
910.0
2953.0
279.0
1463.0
22.0
1780.0
2233.0
11.0
1207.0
8.0
604.0
1642.0
107.0
2645.0
186.0
201.0
1612.0
462.0
601.0
3543.0
227.0
621.0
174.0
1827.0
1033.0
2425.0
2164.0
179.0
45.0
798.0
303.0
2225.0
7.0
2043.0
559.0
1766.0
1573.0
847.0
740.0
3025.0
344.0
983.0
45.0
192.0
860.0
1400.0
2220.0
721.0
3038.0
1106.0
1749.0
546.0
116.0
78.0
54.0
1070.0
1766.0
1073.0
73.0
1925.0
1190.0
229.0
84.0
939.0
9.0
128.0
459.0
890.0
3988.0
226.0
1576.0
992.0
16.0
66.0
182.0
1461.0
1824.0
1901.0
38.0
446.0
1102.0
210.0
91.0
12.0
50.0
1629.0
767.0
455.0
742.0
28.0
1385.0
972.0
1132.0
8.0
491.0
2.0
853.0
214.0
433.0
1143.0
8.0
1317.0
198.0
998.0
35.0
5.0
490.0
1439.0
71.0
173.0
165.0
238.0
6.0
29.0
1534.0
335.0
43.0
499.0
23.0
1671.0
95.0
487.0
359.0
77.0
1007.0
585.0
386.0
1432.0
2083.0
3125.0
599.0
88.0
1150.0
216.0
355.0
38.0
2368.0
32.0
107.0
22.0
1336.0
445.0
335.0
1824.0
886.0
1464.0
78.0
1846.0
193.0
169.0
1192.0
17.0
258.0
35.0
0.0
50.0
773.0
201.0
0.0
593.0
1464.0
256.0
1067.0
1930.0
229.0
301.0
8.0
1772.0
13.0
3.0
238.0
1215.0
802.0
911.0
18.0
414.0
11.0
40.0
550.0
48.0
1844.0
87.0
1671.0
2165.0
117.0
1199.0
3778.0
1922.0
1496.0
49.0
1439.0
489.0
547.0
477.0
1745.0
30.0
6.0
891.0
1908.0
1599.0
989.0
232.0
1181.0
88.0
513.0
1618.0
11.0
318.0
5886.0
4.0
4863.0
126.0
1379.0
23.0
2685.0
1007.0
96.0
252.0
54.0
526.0
264.0
1102.0
2085.0
1746.0
2702.0
161.0
1746.0
0.0
9.0
4316.0
4144.0
1916.0
43.0
2115.0
881.0
2477.0
342.0
1103.0
1754.0
717.0
55.0
944.0
3042.0
263.0
214.0
923.0
1381.0
104.0
291.0
1231.0
4.0
247.0
21.0
68.0
1611.0
42.0
42.0
2808.0
1399.0
1369.0
2825.0
448.0
2678.0
82.0
230.0
46.0
245.0
1650.0
39.0
358.0
1610.0
299.0
652.0
411.0
72.0
1491.0
210.0
1009.0
263.0
256.0
536.0
45.0
1315.0
498.0
19.0
201.0
8.0
2.0
87.0
2347.0
12.0
356.0
892.0
2091.0
192.0
443.0
37.0
4.0
341.0
215.0
586.0
64.0
112.0
308.0
2016.0
101.0
352.0
855.0
1312.0
37.0
10.0
73.0
644.0
476.0
607.0
4763.0
190.0
4587.0
266.0
216.0
75.0
717.0
51.0
951.0
108.0
1016.0
164.0
162.0
2.0
28.0
10.0
378.0
1635.0
373.0
38.0
783.0
2198.0
839.0
869.0
10.0
1571.0
153.0
1799.0
10.0
14.0
16.0
481.0
42.0
9.0
3932.0
383.0
1701.0
922.0
843.0
1175.0
391.0
36.0
97.0
2444.0
9.0
1200.0
2570.0
2954.0
2.0
106.0
3.0
3361.0
964.0
