event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
2853,2010-12-13,1292227200,12.7,9.4,11.0,12.7,7.5,10.8,8.9,87.28,8.82,,54.17,,,,31.3,22.7,125.0,1010.1,89.7,14.0,,,0.0,07:49:22,1292255362,16:16:54,1292285814,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KBFI', '72793524234', 'KPAE', '72793494248', '72793724222', 'KRNT']"
35,2007-03-12,1173637800,2.2,0.4,1.1,2.2,0.4,1.1,0.1,93.42,46.0,,80.0,,,,,1.8,,,100.0,1.6,,,0.0,06:45:47,1173662147,18:35:13,1173704713,0.77,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['42027099999']
517,2008-05-01,1209580200,31.1,27.7,29.5,37.9,32.0,35.4,25.1,77.52,55.67,,12.5,,,,,24.1,220.8,1008.5,49.0,11.2,,,0.0,05:55:38,1209601538,18:18:20,1209646100,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['43450099999', '43467099999', '43486099999', '43441099999', '43444099999', '43466099999']"
3567,2011-06-02,1306953000,27.9,27.9,27.9,33.4,33.4,33.4,26.2,90.5,82.0,,100.0,,,,,3.6,,1009.1,100.0,4.0,,,0.0,06:00:32,1306974632,18:39:10,1307020150,0.0,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,['43352099999']
2806,2010-12-11,1292054400,11.9,4.5,5.9,11.9,2.6,4.9,5.4,96.66,28.79,,75.0,,,,29.5,15.2,87.3,1019.7,98.8,8.5,,,0.0,07:42:09,1292082129,16:26:24,1292113584,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72683604201', 'KVUO', 'KSPB', 'KPDX', '72698024229', '72791894298']"
714,2008-08-14,1218652200,28.9,26.1,27.2,35.4,26.1,30.3,25.7,91.77,8.0,,14.29,,,,,5.4,192.5,1002.2,88.6,3.4,,,0.0,04:44:38,1218669278,17:52:17,1218716537,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,['42309099999']
41,2007-03-22,1174492800,29.5,24.1,25.9,35.0,24.1,27.5,23.6,87.72,8.2,,8.33,,,,,16.3,,1011.3,90.0,9.9,,,0.0,07:16:50,1174519010,19:23:43,1174562623,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48647099999', '48650099999']"
6762,2015-02-07,1423296000,5.3,3.0,4.2,5.1,0.1,3.3,3.5,95.5,15.81,,66.67,,,5.0,,11.0,141.5,1003.7,0.0,334.5,,,0.0,07:11:19,1423321879,16:52:57,1423356777,0.55,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['CWJR', '71884099999', '71770099999', '71776099999', 'CWNM']"
8807,2011-03-06,1299398400,11.8,6.0,8.4,11.8,5.7,8.2,4.9,79.28,0.0,,0.0,,,,,9.4,134.3,1015.2,87.0,16.0,,,0.0,06:39:40,1299422380,18:06:51,1299463611,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72690424231', 'KRBG']"
3649,2011-06-24,1308844800,19.2,17.1,18.0,19.2,17.1,17.9,17.4,96.27,94.0,,87.5,,,,,25.0,227.0,1000.4,62.9,2.4,,,0.0,05:26:39,1308864399,18:32:57,1308911577,0.8,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"['98325099999', '98328099999']"
