event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
1227,2009-10-06,1254766500,23.5,23.5,23.5,23.5,23.5,23.5,22.2,92.24,0.0,,0.0,,,,,1.2,90.0,1006.5,98.9,3.9,,,0.0,06:05:29,1254788429,17:50:47,1254830747,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"['44434099999', '44438099999']"
6064,2014-06-18,1403067600,28.0,18.9,23.2,29.7,18.9,23.5,18.3,74.76,56.94,,37.5,,,,48.1,32.2,111.4,,53.1,15.2,,,0.0,05:32:29,1403087549,21:02:18,1403143338,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72656704980', 'KACQ', 'KMKT', 'KULM', '72658514954']"
7041,2015-06-29,1435561200,36.9,24.7,31.0,35.9,24.7,30.2,12.6,34.22,0.95,,16.67,,0.0,0.0,63.0,32.6,291.0,1010.4,4.3,15.8,,,0.0,05:05:45,1435579545,21:02:22,1435636942,0.46,Rain,Clear conditions throughout the day with morning rain.,rain,"['72790024141', 'KEPH', '72782594239', '72788324220', 'KEAT', 'KELN']"
1858,2010-05-12,1273593600,26.1,19.4,22.1,26.1,19.4,22.1,19.8,87.79,6.1,,14.29,,,,,14.4,97.1,1011.3,81.4,6.4,,,0.0,05:37:41,1273613861,19:04:31,1273662271,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,['57793099999']
9287,2016-02-06,1454742000,6.3,-13.1,-1.2,6.1,-19.3,-5.1,-13.6,40.88,0.0,,0.0,,5.41,38.33,35.3,21.4,241.3,1025.1,20.5,16.0,,,0.0,07:01:35,1454767295,17:26:34,1454804794,0.98,Partially cloudy,Partly cloudy throughout the day.,snow,"['74531093065', 'KAFF', '72466093037', 'KFCS', 'KCWN', 'KCOS']"
3223,2011-03-14,1300086000,12.1,7.0,9.1,12.1,3.6,7.3,4.6,73.97,5.63,,54.17,,,,51.2,29.5,156.6,1016.0,95.2,15.2,,,0.0,07:24:52,1300112692,19:13:31,1300155211,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72793024233', 'KSEA', 'KBFI', '72793524234', '72793494248', 'KRNT']"
6902,2015-03-18,1426654800,15.8,10.4,13.4,15.8,10.4,13.4,11.4,88.42,15.59,,60.0,,,,,5.6,185.5,,96.5,13.2,,,0.0,06:20:53,1426677653,18:27:55,1426721275,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['84239099999', '84226099999']"
8317,2016-04-16,1460732400,23.7,11.3,17.9,23.7,11.3,17.9,5.9,48.21,4.0,,4.17,,,,,21.2,138.1,1015.6,30.0,11.5,,,0.0,05:45:11,1460753111,18:47:00,1460800020,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['RJFT', '47819099999', '47822099999', '47818099999', '47814099999', '47815099999']"
7698,2015-08-17,1439740800,24.9,22.7,23.7,24.9,22.7,23.7,23.4,98.46,24.4,,71.43,,,,,10.8,237.1,1003.6,71.4,3.5,,,0.0,06:28:40,1439764120,19:35:38,1439811338,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['57604099999']
1722,2010-04-06,1270522800,24.3,20.4,22.3,24.3,20.4,22.3,21.5,94.76,0.0,,0.0,,,,55.4,30.8,246.7,,100.0,3.2,,,0.0,06:02:52,1270544572,17:47:46,1270586866,0.76,Overcast,Cloudy skies throughout the day.,wind,"['SBRJ', 'SBJR', 'SBGL', 'SBAF', '83741099999', '83748099999', '83746099999', 'SBSC', '83111099999', '83755099999']"
5605,2013-10-15,1381766400,30.5,25.0,27.4,37.3,25.0,30.1,23.8,82.43,25.0,,12.5,,,,,14.8,240.0,1011.1,96.5,10.7,,,0.0,05:31:43,1381786303,17:26:36,1381829196,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['98646099999', 'RPVM', '98644099999']"
7836,2015-08-27,1440613800,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,04:58:45,1440631725,17:42:53,1440677573,0.46,,,,
3478,2011-05-08,1304834400,7.0,1.6,4.7,6.3,-1.4,2.7,2.8,87.45,11.1,,58.33,,,,,18.9,186.8,1002.1,83.1,12.6,,,0.0,06:08:38,1304856518,20:35:12,1304908512,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72036904135', 'KJAC', '99999904131', 'KRXE', '72577624166', 'KDIJ']"
6079,2014-06-20,1403240400,28.8,19.1,23.4,28.4,19.1,23.3,16.5,68.92,0.44,,8.33,,,,33.5,16.1,198.0,1012.5,45.3,11.9,,,0.0,05:30:39,1403260239,21:03:51,1403316231,0.79,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"['72751704932', '72657994963', 'KFCM', 'KMKT', 'KGYL', '72658514954']"
4864,2013-05-14,1368482400,19.9,4.5,12.9,19.9,4.2,12.6,4.1,58.4,0.0,,0.0,,,107.0,62.0,17.8,142.0,1012.6,20.8,37.5,,,0.0,05:35:44,1368502544,20:37:24,1368556644,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['11138099999', '11343099999', '11346099999', 'LOWZ', '11252099999', 'LIVD', '11204099999', '11136099999', '11340099999', '16033099999', '11144099999']"
8033,2015-12-21,1450684800,9.8,5.1,6.7,7.0,1.0,3.7,3.9,82.34,26.11,,87.5,,0.0,0.0,76.0,29.2,223.3,1005.1,68.9,9.8,,,0.0,07:43:17,1450712597,16:43:37,1450745017,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72690424231', '99999904141', 'KSXT', '72691724284', '72597524235', 'KRBG']"
7442,2015-10-19,1445234400,25.0,22.0,23.1,25.0,22.0,23.1,21.9,93.18,0.0,,0.0,,,,,16.6,176.5,,33.9,9.3,,,0.0,05:50:22,1445255422,17:37:19,1445297839,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['MSSS', '78663099999']"
3635,2011-06-20,1308542400,25.0,19.1,22.1,25.0,19.1,22.1,19.0,83.07,54.08,,41.67,,,,52.8,30.2,125.9,1008.8,72.4,13.1,,,0.0,06:16:48,1308565008,21:15:18,1308618918,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72435653866', 'KGEZ', 'KEYE', 'KIND', '72438093819', '72438453842']"
273,2007-09-19,1190152800,25.1,13.1,20.6,25.1,13.1,20.6,13.9,68.11,0.0,,0.0,,,,,14.8,,,42.0,8.7,,,0.0,05:52:30,1190173950,17:58:47,1190217527,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['63726099999', '64387099999']"
79,2007-05-25,1180022400,27.6,18.4,22.3,26.5,18.4,22.3,6.5,38.09,0.0,,0.0,,,,,14.4,,1005.8,91.3,30.0,,,0.0,05:52:09,1180043529,20:00:02,1180094402,0.33,Overcast,Cloudy skies throughout the day.,cloudy,['56096099999']
7324,2015-07-17,1437062400,31.1,28.7,29.6,40.5,34.5,37.0,26.3,82.48,0.0,,0.0,,,,,21.6,200.0,1008.8,87.5,16.8,,,0.0,05:37:46,1437082666,18:23:23,1437128603,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['98531099999']
6834,2015-03-05,1425531600,0.8,-9.4,-4.4,-2.2,-13.6,-9.0,-5.1,95.23,12.59,,79.17,,5.62,5.14,,15.0,289.3,1025.7,84.0,5.4,,,0.0,06:57:05,1425556625,18:29:09,1425598149,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"['KLNP', 'KJKL', '72419003889', '72411763802', '72046499999']"
7632,2016-04-16,1460732400,23.0,11.9,17.7,23.0,11.9,17.7,7.8,54.8,3.55,,4.17,,,,,16.0,171.6,1015.6,15.1,19.4,,,0.0,05:45:11,1460753111,18:47:01,1460800021,0.36,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"['47819099999', '47813099999', '47822099999', '47818099999', '47814099999', '47815099999']"
6901,2015-03-18,1426654800,21.0,15.1,18.7,21.0,15.1,18.8,16.7,88.39,36.7,,60.0,,,,,8.1,275.0,,90.6,7.2,,,0.0,06:22:04,1426677724,18:29:15,1426721355,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['84270099999', '84265099999']"
2413,2010-09-11,1284134400,29.0,24.9,26.6,32.0,24.9,28.3,23.3,82.43,11.9,,4.17,,,,,43.2,180.0,1008.6,58.2,4.6,,,0.0,05:41:15,1284154875,18:10:37,1284199837,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['58457099999', 'ZSHC']"
6029,2014-05-16,1400223600,23.0,5.1,14.5,23.0,3.3,14.1,3.0,49.29,0.0,,0.0,,,,27.7,18.4,259.9,1016.8,35.2,108.1,,,0.0,04:57:26,1400241446,20:36:25,1400297785,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['CYRV', '71882099999', '71035499999', 'CYGE']"
2245,2010-08-14,1281715200,26.1,22.8,24.5,26.1,22.8,24.6,21.9,85.24,30.0,,16.67,,,,,21.6,147.7,1004.4,63.4,10.2,,,0.0,06:31:00,1281738660,19:50:09,1281786609,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['ZUUU', '56294099999', '56187099999']"
219,2007-08-31,1188497700,29.2,26.1,27.6,36.3,26.1,31.2,25.8,89.85,0.0,,0.0,,,,,0.0,,1003.7,95.0,8.0,,,0.0,05:49:36,1188518676,18:34:59,1188564599,0.56,Overcast,Cloudy skies throughout the day.,cloudy,['44438099999']
4558,2012-09-16,1347768000,34.0,24.0,27.9,39.3,24.0,30.5,23.4,77.97,4.1,,4.35,,,,,24.1,72.6,1012.8,59.3,11.0,,,0.0,05:55:26,1347789326,18:05:42,1347833142,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['78970011634', 'TTPP']"
6223,2014-10-01,1412118000,17.2,9.9,14.3,17.2,8.3,14.2,12.1,86.92,1.0,,8.33,,,,48.2,24.3,227.7,1021.9,32.9,17.5,,,0.0,07:04:09,1412143449,18:38:59,1412185139,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['EGXZ', '03275099999', '03265099999', '03257099999', '03382099999', '03264399999', '03281099999', '03266099999', 'EGXU', 'EGXE']"
8712,2012-01-19,1326960000,12.4,9.6,10.9,12.4,7.8,10.7,9.1,88.99,34.6,,62.5,,,,51.8,34.0,181.9,1004.6,86.8,13.2,,,0.0,07:43:43,1326987823,17:06:17,1327021577,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KCVO', '72693024221', '99999904236', '72694524202', 'KEUG']"
3673,2011-06-29,1309285800,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:15:22,1309304722,19:20:03,1309355403,0.99,,,,
2501,2010-09-25,1285329600,12.1,7.6,9.2,12.1,4.8,6.7,7.1,87.12,1.36,,12.5,,,,,27.6,278.9,1015.7,0.0,17.5,,,0.0,06:04:27,1285351467,18:17:44,1285395464,0.53,Rain,Clear conditions throughout the day with morning rain.,rain,"['93334099999', '93245099999']"
1315,2009-11-20,1258655400,30.1,17.1,22.7,28.5,17.1,22.5,9.4,44.3,0.0,,0.0,,,,,16.6,74.5,,0.0,4.1,,,0.0,06:56:26,1258680386,17:54:01,1258719841,0.07,Clear,Clear conditions throughout the day.,clear-day,['42647099999']
