event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
6334,2014-09-11,1410375600,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:40:29,1410396029,18:15:36,1410441336,0.54,,,,
4434,2012-06-25,1340562600,28.4,25.1,26.8,36.4,25.1,30.5,26.4,97.42,79.0,,50.0,,,,,16.6,141.7,996.4,91.3,1.6,,,0.0,04:32:40,1340578960,18:18:46,1340628526,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,['42410099999']
4131,2012-01-06,1325782800,29.7,23.4,25.8,35.5,23.4,27.1,23.9,90.04,0.2,,12.5,,,,,22.3,270.0,1012.5,92.5,7.0,,,0.0,05:36:54,1325803014,18:08:44,1325848124,0.46,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,['96791099999']
3982,2011-09-21,1316530800,16.3,14.0,15.7,16.3,14.0,15.7,14.6,92.98,124.93,,16.67,,,,53.6,35.9,139.8,1006.1,6.3,6.5,,,0.0,05:18:00,1316549880,17:32:28,1316593948,0.8,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['47585099999', '47512099999', '47584099999', 'RJSI', '47549099999']"
4380,2012-06-02,1338566400,32.2,26.0,28.9,42.1,26.0,33.9,25.5,82.33,6.1,,4.17,,,,,14.0,159.7,1008.0,89.0,8.5,,,0.0,07:04:17,1338591857,19:29:22,1338636562,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['WMKP', 'WMKB', '48602099999', '48601099999']"
3218,2011-03-14,1300086000,10.1,5.8,7.8,10.1,0.7,4.4,4.4,79.03,19.64,,70.83,,,,59.9,40.0,170.4,1015.4,94.5,13.7,,,0.0,07:24:40,1300112680,19:13:12,1300155192,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72794504205', 'KBFI', 'KPAE', '72793524234', '72793724222', 'KAWO']"
1090,2009-08-16,1250361000,27.7,25.2,26.4,34.3,25.2,29.8,26.4,100.0,40.0,,100.0,,,,,9.4,60.0,1005.9,95.0,3.0,,,0.0,05:08:42,1250379522,18:13:21,1250426601,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,['42398099999']
4074,2011-12-01,1322730000,6.9,1.8,4.1,2.1,-3.1,-0.7,3.2,93.17,46.09,,79.17,,,417.0,78.7,53.6,247.5,1020.3,8.6,12.0,,,0.0,08:14:44,1322759684,15:25:37,1322785537,0.21,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['PASI', '99999925379', '70371025333', 'PAGN', '70383025310']"
947,2008-12-22,1229922000,-4.1,-13.6,-8.9,-4.3,-19.5,-11.8,-15.8,57.97,0.0,,0.0,,,,50.0,24.1,208.3,1032.2,0.0,16.0,,,0.0,07:45:27,1229949927,17:28:35,1229984915,0.9,Clear,Clear conditions throughout the day.,clear-day,"['72326013891', '72325003847', '99999963855']"
1039,2009-06-19,1245384000,31.8,18.1,25.5,35.8,18.1,27.1,20.0,72.97,0.0,,0.0,,,,,12.2,233.7,1010.5,0.0,15.8,,,0.0,06:09:10,1245406150,20:44:58,1245458698,0.93,Clear,Clear conditions throughout the day.,clear-day,"['72301003810', '72314863859', '72305563816', '72316563821']"
