event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
835,2008-10-10,1223622000,13.4,5.6,8.6,13.4,5.6,8.5,4.6,76.98,0.0,,0.0,,,,,11.0,274.2,1024.7,69.3,15.9,,,0.0,07:18:45,1223648325,18:30:41,1223688641,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72698524242', '72698024229', '72791894298']"
1895,2010-05-24,1274634000,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:40:19,1274654419,17:22:31,1274696551,0.43,,,,
9543,2016-10-05,1475604900,29.4,21.7,25.8,32.5,21.7,26.9,21.5,78.27,0.5,,20.0,,,,,7.6,160.0,,76.0,7.4,,,0.0,06:01:39,1475626599,17:48:21,1475669001,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,['44434099999']
3816,2011-07-21,1311184800,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:15:10,1311203710,18:53:17,1311252797,0.67,,,,
8234,2015-09-15,1442246400,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,07:00:07,1442271607,19:20:15,1442316015,0.02,,,,
1780,2010-04-25,1272128400,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:32:10,1272148330,18:24:40,1272194680,0.44,,,,
6816,2015-03-04,1425445200,12.0,2.9,8.5,12.0,-0.1,7.6,7.6,93.79,35.27,,100.0,,3.16,3.16,49.2,30.1,224.7,1012.6,99.0,5.7,,,0.0,06:55:12,1425470112,18:24:13,1425511453,0.49,"Snow, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"['KBKW', 'KJFZ', '72412503859', '72412003872']"
3973,2011-09-13,1315846800,31.2,24.2,27.1,36.6,24.2,29.4,24.3,85.71,20.1,,12.5,,,,,10.8,170.0,1008.1,83.8,11.3,,,0.0,05:49:55,1315867795,18:10:05,1315912205,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,['48803099999']
6104,2014-06-25,1403625600,27.4,19.4,23.0,28.7,19.4,23.3,19.7,83.03,3.0,,12.5,,,,,7.2,250.0,1002.5,57.5,9.4,,,0.0,06:05:06,1403647506,20:14:32,1403698472,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,['56187099999']
9363,2016-03-09,1457481600,8.8,3.9,6.3,5.4,-2.5,1.5,4.5,88.1,31.43,,16.67,,,,80.3,49.0,253.6,996.1,90.9,14.8,,,0.0,06:35:02,1457505302,18:04:00,1457546640,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['03862099999', '03853099999', '03746099999', '03743099999', '03857099999', '03749099999']"
