event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
9211.0,2016-07-24,1469287800,24.8,22.2,23.6,24.8,22.2,23.6,22.5,93.68,54.8,,37.5,,,,,7.2,126.8,1006.8,99.8,12.2,,,0.0,04:59:22,1469305762,19:30:09,1469358009,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['47050099999', '47028099999', '47037099999', '47039099999']"
8026.0,2015-12-23,1450857600,8.2,3.9,6.3,4.6,1.0,3.1,2.4,76.55,10.43,,100.0,,0.0,0.0,60.8,33.8,241.5,1004.0,87.6,14.8,,,0.0,07:54:15,1450886055,16:34:59,1450917299,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KHIO', 'KTMK', 'KAST', '72020200118', '72791094224', '72698694261']"
105.0,2007-06-27,1182920400,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,06:22:12,1182943332,18:15:27,1182986127,0.45,,,,
1467.0,2010-02-04,1265259600,5.8,2.1,3.9,4.8,-1.5,1.0,-0.9,71.8,5.56,,25.0,,,,29.5,18.4,53.4,1026.6,68.0,12.8,,,0.0,07:27:29,1265286449,18:03:52,1265324632,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KCEU', '72311853850', '72319093846', 'KAND']"
553.0,2008-05-24,1211558400,31.1,24.9,26.7,39.3,24.9,28.8,24.6,88.46,40.4,,13.04,,,,,18.4,250.9,1009.3,93.5,8.9,,,0.0,05:21:46,1211577706,18:00:54,1211623254,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['98646099999', '98644099999']"
1967.0,2010-06-14,1276444800,23.1,22.7,22.9,23.1,22.7,22.9,22.6,98.63,176.1,,42.86,,,,,3.6,176.0,1006.2,100.0,4.3,,,0.0,05:13:31,1276463611,19:01:26,1276513286,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,['58834099999']
8066.0,2015-12-17,1450339200,13.4,6.2,10.3,13.4,5.3,10.0,7.8,84.72,22.7,,87.5,,0.0,0.0,,14.8,124.8,1012.5,100.0,10.8,,,0.0,07:38:14,1450366694,16:36:58,1450399018,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72690424231', 'KRBG']"
3187.0,2011-03-09,1299646800,5.8,-0.8,2.0,1.7,-6.1,-2.3,-2.1,75.03,12.24,,41.67,,,4.0,45.7,27.1,126.0,1022.7,63.2,13.6,,,0.0,06:39:08,1299670748,18:14:59,1299712499,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['CXVN', '71432099999', 'KIAG', 'CWWZ', '71171099999', '72528704724']"
3894.0,2011-08-07,1312655400,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:40:48,1312675848,19:11:18,1312724478,0.31,,,,
3971.0,2011-09-12,1315814400,10.5,8.8,9.8,10.5,4.8,6.9,8.6,92.46,82.09,,100.0,,,,56.6,33.8,39.7,1003.6,64.0,5.7,,,0.0,07:32:52,1315841572,20:36:34,1315888594,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['99842799999', 'PADQ', '70350025501']"
9030.0,2016-07-16,1468606500,29.8,24.9,27.2,36.6,24.9,30.2,24.9,87.19,43.39,,40.0,,,,,9.2,79.6,1000.6,83.3,6.7,,,0.0,05:25:48,1468626048,19:10:15,1468675515,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['44434099999', '44438099999', '44429099999']"
4227.0,2012-02-26,1330189200,32.1,21.4,26.0,40.8,21.4,27.5,23.1,84.54,45.34,,25.0,,,,,22.9,219.8,1006.8,66.1,5.5,,,0.0,05:58:16,1330210696,18:13:23,1330254803,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['96741099999', 'WIII', '96739099999', 'WIHH', '96749099999', '96751099999', '96745099999', '96749599999']"
4678.0,2012-12-25,1356408000,27.0,23.1,25.3,30.1,23.1,25.8,23.6,90.53,40.9,,8.7,,,,,35.3,80.5,1013.4,89.8,10.5,,,0.0,06:18:50,1356430730,17:46:59,1356472019,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['78961300410', 'TTCP']"
7177.0,2015-04-03,1427999400,12.9,7.1,9.9,12.9,7.1,9.8,6.6,80.63,17.9,,37.5,,,,,7.6,165.0,,96.3,2.9,,,0.0,06:17:51,1428022071,18:54:18,1428067458,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,['42027099999']
3992.0,2011-09-26,1316966400,25.1,23.4,24.2,25.1,23.4,24.2,23.6,96.43,183.1,,34.78,,,,,38.4,260.9,997.2,100.0,12.4,,,0.0,05:31:53,1316986313,17:36:37,1317029797,1.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['98446099999', '98447099999']"
29.0,2007-02-25,1172343600,22.1,8.3,15.1,22.1,8.3,15.1,7.3,62.28,3.2,,12.5,,,,,22.3,,1012.9,70.5,7.8,,,0.0,06:39:12,1172367552,17:57:27,1172408247,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['41536099999', '41535099999', '41571099999', '41573099999']"
2655.0,2010-10-28,1288206000,20.2,4.0,13.0,20.2,1.2,12.7,10.3,85.35,0.0,,0.0,,,,,18.2,125.3,1016.8,22.2,10.4,,,0.0,08:07:31,1288235251,18:50:24,1288273824,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['37989099999', 'OITL', '40782599999', '37985099999']"
