event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
9684,2011-07-03,1309630500,20.4,20.4,20.4,20.4,20.4,20.4,19.1,92.08,0.0,,0.0,,,,,3.4,90.0,,90.0,9.6,,,0.0,05:07:54,1309648974,18:56:59,1309698719,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['44462099999', '44477099999']"
4510,2012-08-23,1345694400,30.9,23.1,25.7,37.3,23.1,27.2,23.6,88.25,18.0,,8.33,,,,,27.7,119.6,1012.6,90.6,9.7,,,0.0,05:56:46,1345715806,18:20:44,1345760444,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['80423099999', '78970011634', 'TTPP']"
3561,2011-06-01,1306879200,19.0,13.0,16.4,19.0,13.0,16.4,13.5,83.21,2.01,,20.83,,,,45.4,21.8,310.5,1019.4,76.6,15.0,,,0.0,04:58:05,1306897085,21:02:42,1306954962,1.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['11520099999', '11567099999', 'LKKB', '11519099999', '11509099999', '11423299999']"
914,2008-12-06,1228521600,4.9,-0.5,2.4,2.0,-4.0,-1.0,-0.6,80.85,3.03,,8.33,,,9.0,,19.1,291.0,1014.1,2.3,24.7,,,0.0,08:21:58,1228551718,15:37:01,1228577821,0.28,Rain,Clear conditions throughout the day with rain.,rain,"['03158099999', '03240099999', '03230099999']"
7350,2015-10-26,1445799600,11.6,7.6,9.4,11.6,7.6,9.4,7.8,90.5,42.46,,62.5,,,,,2.4,302.5,,83.8,7.7,,,0.0,06:20:22,1445822422,17:18:37,1445861917,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['41536099999', '41535099999']"
4639,2012-11-28,1354060800,5.8,0.1,4.0,2.1,-3.2,0.5,0.6,78.85,0.7,,8.33,,,,,20.6,332.8,1016.7,50.5,22.9,,,0.0,07:54:13,1354089253,16:00:50,1354118450,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['03414099999', '03529099999', '03520099999', '03330099999', '03535099999', '03522099999']"
3685,2011-07-01,1309457700,25.7,24.5,25.1,25.7,24.5,25.1,24.7,97.3,0.0,,0.0,,,,,10.3,170.0,998.0,100.0,3.4,,,0.0,05:18:52,1309476832,19:10:56,1309526756,0.0,Overcast,Cloudy skies throughout the day.,cloudy,"['44434099999', '44438099999']"
161,2007-08-07,1186416000,30.1,24.7,26.7,35.3,24.7,28.5,24.6,88.94,83.1,,37.5,,,,,3.6,,1002.4,61.3,19.0,,,0.0,06:01:24,1186437684,19:37:38,1186486658,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['57245099999']
7166,2015-04-09,1428562800,20.7,8.2,14.8,20.7,8.2,14.8,7.0,61.05,0.0,,0.0,,0.0,0.0,31.7,17.8,125.2,1014.4,15.2,14.9,,,0.0,06:27:55,1428586075,19:16:55,1428632215,0.62,Clear,Clear conditions throughout the day.,clear-day,"['72292603154', '72297793184', 'KNFG', 'KSNA', 'KOKB', '72293453121']"
6531,2014-08-17,1408215600,32.0,19.2,25.4,34.2,19.2,26.1,19.0,69.71,62.16,,4.55,,,,,22.3,187.3,1003.8,32.9,6.9,,,0.0,05:27:53,1408235273,18:48:47,1408283327,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['41598099999', 'OPRN', '41571099999', '41573099999']"
